                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.43937,                0.37138,                0.92418,                0.74826,                0.65478,                0.71839,                0.54426,                0.90375,                 1.1098,                 1.2394,              0.0001634,              0.0001634,              0.0001634
                     36,                0.42926,                0.35956,                0.92309,                0.73206,                0.70064,                0.72398,                0.54751,                0.88869,                 1.1078,                  1.235,              0.0001535,              0.0001535,              0.0001535
                     37,                0.42293,                0.35058,                0.91899,                0.76586,                0.65643,                0.71246,                0.54213,                0.90221,                 1.1392,                 1.2511,              0.0001436,              0.0001436,              0.0001436
                     38,                0.42443,                0.35928,                0.92099,                0.74843,                0.64998,                0.70377,                0.53541,                0.89487,                 1.1473,                 1.2406,              0.0001337,              0.0001337,              0.0001337
                     39,                0.41293,                0.34753,                0.91609,                0.77413,                0.65352,                0.71127,                 0.5414,                0.87121,                 1.1386,                 1.2363,              0.0001238,              0.0001238,              0.0001238
                     40,                0.40747,                  0.336,                0.91324,                 0.7411,                0.66257,                 0.7113,                0.54437,                 0.8869,                 1.1208,                 1.2348,              0.0001139,              0.0001139,              0.0001139
                     41,                0.37311,                0.30892,                0.89155,                 0.7344,                 0.6853,                0.72099,                0.54072,                 0.8817,                 1.0472,                 1.2623,               0.000104,               0.000104,               0.000104
                     42,                 0.3563,                0.29348,                0.88018,                0.74299,                0.66817,                0.71782,                0.53679,                0.88985,                  1.134,                 1.2514,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                0.34184,                0.29085,                0.87516,                0.73999,                0.68773,                0.72557,                  0.548,                0.87379,                 1.1022,                 1.2558,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                0.33598,                0.28057,                0.87422,                0.76986,                0.65826,                0.72728,                0.55086,                0.87419,                 1.1175,                 1.2502,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                0.32049,                0.27012,                0.85848,                0.73373,                0.68414,                0.72658,                0.55052,                0.87802,                 1.1079,                 1.2369,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                 0.3175,                0.26772,                0.86173,                 0.7502,                0.68914,                0.73164,                0.55575,                0.87298,                 1.1104,                 1.2488,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                0.31445,                0.25894,                0.85737,                 0.7378,                0.68974,                0.72587,                0.55158,                0.87612,                 1.1151,                 1.2497,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                0.30517,                0.25347,                0.85654,                0.73674,                 0.6844,                0.72657,                0.55645,                0.86927,                 1.1057,                  1.241,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                0.29965,                0.25081,                0.85224,                0.72562,                0.70538,                0.72493,                0.55218,                0.86568,                 1.1007,                 1.2461,               2.48e-05,               2.48e-05,               2.48e-05
                     50,                0.29942,                0.25042,                0.85824,                0.74449,                0.70245,                0.72641,                0.55586,                0.86693,                 1.1057,                 1.2487,               1.49e-05,               1.49e-05,               1.49e-05
